date,nominal broad dollar,real broad dollar,10 yr yield,sp 500,opec oil production,world oil production,opec oil price index,usa industrial production,brent price (nominal)
1983-01-03,44.317,110.1959,10.322,138.34,18760,57238,1.21,46.8713,
1983-01-04,44.2021,110.1959,10.372,141.35,18760,57238,1.21,46.8713,
1983-01-05,44.1055,110.1959,10.352,141.96,18760,57238,1.21,46.8713,
1983-01-06,44.1677,110.1959,10.392,145.27,18760,57238,1.21,46.8713,
1983-01-07,44.0661,110.1959,10.362,145.18,18760,57238,1.21,46.8713,
1983-01-10,43.9582,110.1959,10.382,146.78,18760,57238,1.21,46.8713,
1983-01-11,44.0714,110.1959,10.342,145.78,18760,57238,1.21,46.8713,
1983-01-12,44.2173,110.1959,10.322,146.69,18760,57238,1.21,46.8713,
1983-01-13,44.0623,110.1959,10.272,145.72,18760,57238,1.21,46.8713,
1983-01-14,44.181,110.1959,10.282,146.65,18760,57238,1.21,46.8713,
1983-01-17,44.1503,110.1959,10.282,146.71,18760,57238,1.21,46.8713,
1983-01-18,44.4352,110.1959,10.302,146.4,18760,57238,1.21,46.8713,
1983-01-19,44.6123,110.1959,10.412,145.27,18760,57238,1.21,46.8713,
1983-01-20,44.6616,110.1959,10.432,146.29,18760,57238,1.21,46.8713,
1983-01-21,44.8099,110.1959,10.612,143.85,18760,57238,1.21,46.8713,
1983-01-24,45.1321,110.1959,10.702,139.97,18760,57238,1.21,46.8713,
1983-01-25,44.871,110.1959,10.622,141.75,18760,57238,1.21,46.8713,
1983-01-26,44.8471,110.1959,10.692,141.54,18760,57238,1.21,46.8713,
1983-01-27,44.8816,110.1959,10.672,144.27,18760,57238,1.21,46.8713,
1983-01-28,44.9206,110.1959,10.712,144.51,18760,57238,1.21,46.8713,
1983-01-31,45.2004,109.7312,10.802,145.3,18760,57238,1.21,47.7398,
1983-02-01,45.5303,109.7312,10.782,142.96,18760,57238,1.21,47.7398,
1983-02-02,45.8102,109.7312,10.882,143.23,18760,57238,1.21,47.7398,
1983-02-03,45.5197,109.7312,10.932,144.26,18760,57238,1.21,47.7398,
1983-02-04,45.5823,109.7312,10.992,146.14,18760,57238,1.21,47.7398,
1983-02-07,45.3554,109.7312,10.962,146.93,18760,57238,1.21,47.7398,
1983-02-08,45.2936,109.7312,10.992,145.7,18760,57238,1.21,47.7398,
1983-02-09,45.2193,109.7312,11.002,145,18760,57238,1.21,47.7398,
1983-02-10,45.0795,109.7312,10.832,147.5,18760,57238,1.21,47.7398,
1983-02-11,45.0395,109.7312,10.802,147.63,18760,57238,1.21,47.7398,
1983-02-14,45.0811,109.7312,10.802,148.92,18760,57238,1.21,47.7398,
1983-02-15,45.0164,109.7312,10.842,148.3,18760,57238,1.21,47.7398,
1983-02-16,44.8507,109.7312,10.812,147.43,18760,57238,1.21,47.7398,
1983-02-17,44.9469,109.7312,10.712,147.44,18760,57238,1.21,47.7398,
1983-02-18,44.9745,109.7312,10.602,148,18760,57238,1.21,47.7398,
1983-02-21,44.9745,109.7312,10.602,148,18760,57238,1.21,47.7398,
1983-02-22,45.0903,109.7312,10.462,145.48,18760,57238,1.21,47.7398,
1983-02-23,45.2048,109.7312,10.442,146.79,18760,57238,1.21,47.7398,
1983-02-24,45.1246,109.7312,10.422,149.6,18760,57238,1.21,47.7398,
1983-02-25,45.1807,109.7312,10.262,149.74,18760,57238,1.21,47.7398,
1983-02-28,45.396,110.7762,10.272,148.06,18760,57238,1.21,47.4484,
1983-03-01,45.8509,110.7762,10.222,150.88,18760,57238,1.21,47.4484,
1983-03-02,45.7345,110.7762,10.262,152.3,18760,57238,1.21,47.4484,
1983-03-03,45.6453,110.7762,10.232,153.48,18760,57238,1.21,47.4484,
1983-03-04,45.5555,110.7762,10.272,153.67,18760,57238,1.21,47.4484,
1983-03-07,45.5071,110.7762,10.432,153.67,18760,57238,1.21,47.4484,
1983-03-08,45.825,110.7762,10.522,151.26,18760,57238,1.21,47.4484,
1983-03-09,45.8335,110.7762,10.482,152.87,18760,57238,1.21,47.4484,
1983-03-10,45.7507,110.7762,10.552,151.8,18760,57238,1.21,47.4484,
1983-03-11,45.8494,110.7762,10.592,151.24,18760,57238,1.21,47.4484,
1983-03-14,45.663,110.7762,10.482,150.83,18760,57238,1.21,47.4484,
1983-03-15,45.63,110.7762,10.462,151.36,18760,57238,1.21,47.4484,
1983-03-16,45.6448,110.7762,10.532,149.8,18760,57238,1.21,47.4484,
1983-03-17,45.7942,110.7762,10.562,149.59,18760,57238,1.21,47.4484,
1983-03-18,45.94,110.7762,10.582,149.9,18760,57238,1.21,47.4484,
1983-03-21,46.1821,110.7762,10.602,151.19,18760,57238,1.21,47.4484,
1983-03-22,46.1087,110.7762,10.622,150.66,18760,57238,1.21,47.4484,
1983-03-23,46.1971,110.7762,10.582,152.81,18760,57238,1.21,47.4484,
1983-03-24,46.1188,110.7762,10.582,153.37,18760,57238,1.21,47.4484,
1983-03-25,46.1096,110.7762,10.642,152.67,18760,57238,1.21,47.4484,
1983-03-28,46.3462,110.7762,10.662,151.85,18760,57238,1.21,47.4484,
1983-03-29,46.3265,110.7762,10.602,151.59,18760,57238,1.21,47.4484,
1983-03-30,46.2735,110.7762,10.592,153.39,18760,57238,1.21,47.4484,
1983-03-31,46.2529,111.3739,10.622,152.96,18760,57238,3.34,47.8426,
1983-04-01,46.6496,111.3739,10.622,152.96,18760,57238,3.34,47.8426,
1983-04-04,46.5758,111.3739,10.602,153.02,18760,57238,3.34,47.8426,
1983-04-05,46.4667,111.3739,10.492,151.89,18760,57238,3.34,47.8426,
1983-04-06,46.3907,111.3739,10.492,151.04,18760,57238,3.34,47.8426,
1983-04-07,46.4726,111.3739,10.512,151.76,18760,57238,3.34,47.8426,
