Table 40: Expected Change in Gasoline Prices During the Next 5 Years 
Month,Year,Increase,Remain the Same,Decrease,DK; NA,Median,Mean,
1,2000,,,,,,,
2,2000,,,,,,,
3,2000,62,14,20,4,14.7,25.1,
4,2000,52,21,25,2,5.1,16,
5,2000,53,28,18,1,5,16.1,
6,2000,56,23,21,0,7.3,24.5,
7,2000,50,20,28,2,4.6,15.1,
8,2000,59,23,16,2,10.5,21.6,
9,2000,69,16,12,3,17,25.7,
10,2000,67,16,14,3,15.4,30.1,
11,2000,70,15,11,4,16.6,26.4,
12,2000,67,24,8,1,15.3,27.4,
1,2001,67,22,7,4,19.6,28.4,
2,2001,68,21,7,4,20,28.8,
3,2001,70,21,8,1,20,28.4,
4,2001,78,15,6,1,25,39.7,
5,2001,80,9,8,3,49.6,53.5,
6,2001,67,19,12,2,20.2,32.5,
7,2001,67,23,7,3,20.2,35.6,
8,2001,68,23,6,3,20,29.3,
9,2001,70,22,5,3,19.9,33.9,
10,2001,67,25,5,3,19.5,28.1,
11,2001,67,27,4,2,19.9,29.3,
12,2001,71,21,3,5,25.1,33.7,
1,2002,73,24,1,2,25.2,37.7,
2,2002,70,24,3,3,20.4,29.9,
3,2002,75,19,3,3,20.1,32.2,
4,2002,75,19,4,2,20.4,33.4,
5,2002,74,20,4,2,20.1,29,
6,2002,69,22,5,4,19.8,27,
7,2002,74,21,3,2,14.6,23.1,
8,2002,70,25,3,2,15.2,24,
9,2002,73,22,2,3,13.4,23,
10,2002,76,20,1,3,14.9,24.9,
11,2002,75,20,4,1,15.3,26.7,
12,2002,72,22,2,4,15.5,24.7,
1,2003,81,16,3,0,17.5,28.3,
2,2003,78,13,8,1,24.7,34.7,
3,2003,66,16,17,1,19.9,27.6,
4,2003,53,26,20,1,5.5,15.7,
5,2003,48,32,19,1,0.5,13.4,
6,2003,58,29,11,2,10,20.4,
7,2003,65,29,5,1,15.1,26.6,
8,2003,67,23,8,2,15.1,29.1,
9,2003,59,25,15,1,10.5,21.3,
10,2003,69,22,7,2,19.5,25,
11,2003,70,22,6,2,19.7,24.7,
12,2003,69,23,6,2,14.9,23.9,
1,2004,,,,,,,
2,2004,,,,,,,
3,2004,,,,,,,
4,2004,,,,,,,
5,2004,,,,,,,
6,2004,55,18,26,1,10.3,27.7,
7,2004,60,25,14,1,15,31.3,
8,2004,66,23,10,1,19.7,32.3,
9,2004,63,24,11,2,15,32.8,
10,2004,71,19,9,1,20.3,34.6,
11,2004,66,23,10,1,19.6,36.7,
12,2004,65,20,13,2,17,30.4,
1,2005,66,25,7,2,19.8,31.6,
2,2005,71,22,6,1,24.8,40.2,
3,2005,82,11,7,0,34.7,45.8,
4,2005,74,17,9,0,29.8,46.4,
5,2005,70,18,11,1,29.5,46.9,
6,2005,73,18,8,1,29.5,48.4,
7,2005,78,15,7,0,49.6,53.3,
8,2005,75,15,10,0,39.6,55.1,
9,2005,73,14,12,1,49.8,64.2,
10,2005,65,21,13,1,29.8,49.7,
11,2005,66,25,8,1,25.2,49.1,
12,2005,68,24,7,1,36.1,47.9,
1,2006,74,19,6,1,34.5,52.1,
2,2006,74,19,6,1,40.2,55.5,
3,2006,74,21,4,1,35.3,51.8,
4,2006,81,11,7,1,50.1,66.2,
5,2006,75,12,13,0,50.3,72.2,
6,2006,69,21,9,1,35.5,52.8,
7,2006,76,18,6,0,49.6,56.2,
8,2006,78,17,4,1,50.2,72.7,
9,2006,67,21,11,1,49.7,56.8,
10,2006,70,22,7,1,49.9,62.3,
11,2006,72,19,8,1,50,65.6,
12,2006,72,21,6,1,49.7,60,
1,2007,67,22,8,3,29.7,49.2,
2,2007,72,22,5,1,35.4,54.6,
3,2007,80,14,6,0,50,64,
4,2007,81,12,6,1,50.1,66.3,
5,2007,74,15,10,1,50.3,73.8,
6,2007,76,15,9,0,50.1,66.4,
7,2007,79,14,6,1,50,64.2,
8,2007,72,24,3,1,50.1,69.9,
9,2007,74,18,7,1,49.5,54.9,
10,2007,80,14,5,1,49.7,61.4,
11,2007,82,12,6,0,50.2,75.3,
12,2007,79,14,6,1,55,80.3,
1,2008,82,13,4,1,50.5,69.7,
2,2008,76,16,7,1,50,63.1,
3,2008,79,10,9,2,72.7,78,
4,2008,79,12,8,1,65.2,76.9,
5,2008,80,10,10,0,99.7,95.1,
6,2008,78,11,10,1,100.1,113.9,
7,2008,71,15,13,1,99.6,99.1,
8,2008,62,22,15,1,49.9,71.9,
9,2008,58,24,16,2,30.4,57.7,
10,2008,58,29,13,0,29.9,61.2,
11,2008,71,21,6,2,99.5,98.3,
12,2008,78,15,5,2,99.7,107,
1,2009,81,16,2,1,99.8,111.8,
2,2009,79,17,3,1,99.5,105.2,
3,2009,72,23,4,1,54.9,86.5,
4,2009,73,23,3,1,65.3,89.5,
5,2009,76,21,2,1,75.1,92.2,
6,2009,79,17,3,1,74.9,89.2,
7,2009,73,22,3,2,50.4,79.5,
8,2009,68,28,3,1,50.1,75,
9,2009,69,26,4,1,49.9,64.4,
10,2009,71,24,4,1,49.9,63.5,
11,2009,73,23,3,1,49.7,65.9,
12,2009,69,27,3,1,49.6,59.4,
1,2010,74,22,3,1,49.6,59.9,
2,2010,66,30,3,1,30.4,54.8,
3,2010,75,20,4,1,49.8,63.9,
4,2010,79,17,3,1,49.8,62.8,
5,2010,80,16,3,1,50,69.3,
6,2010,77,20,2,1,49.8,62.7,
7,2010,78,19,2,1,49.7,61.1,
8,2010,72,23,4,1,30.4,54.6,
9,2010,75,22,3,0,30,48.8,
10,2010,70,27,2,1,25.1,48.8,
11,2010,77,20,3,0,35,51.8,
12,2010,75,22,2,1,30.2,54.1,
1,2011,84,12,4,0,70,84.5,
2,2011,86,10,3,1,72.3,81.9,
3,2011,82,11,5,2,99.7,96.9,
4,2011,77,14,8,1,50.5,74.6,
5,2011,70,18,11,1,50.4,67.3,
6,2011,65,23,11,1,49.9,62.8,
7,2011,69,22,8,1,49.6,58.1,
